第8屆區域立法委員選舉臺北市第5選舉區候選人在各投開票所得票數一覽表,,,,,,,,,,,,,,,,,
鄉(鎮、市、區)別,村里別,投票所別,各候選人得票情形,,,,,,,"有效票數A
A=1+2+...+N",無效票數B,"投票數C
C=A+B","已領未投票數D
D=E-C","發出票數E
E=C+D",用餘票數F,"選舉人數G
G=E+F","發票率H
H=C÷G"
,,,"1
陳彥甫
健保免費連線","2
楊煌
無黨籍及未經政黨推薦","3
劉美娟
中華民國臺灣基本法連線","4
顏聖冠
民主進步黨","5
葉玫
台灣國民會議","6
周志文
人民民主陣線","7
林郁方
中國國民黨",,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
　　,忠勤里,860,10,2,7,386,13,3,670,"1,091",18,"1,109",0,"1,109",390,"1,499",73.98
　　,忠勤里,861,4,1,4,366,3,6,587,971,15,986,0,986,334,"1,320",74.70
　　,忠勤里,862,7,6,8,443,3,4,571,"1,042",21,"1,063",0,"1,063",324,"1,387",76.64
　　,廈安里,863,7,2,2,459,3,4,695,"1,172",15,"1,187",0,"1,187",348,"1,535",77.33
　　,廈安里,864,8,7,6,508,5,2,708,"1,244",31,"1,275",0,"1,275",328,"1,603",79.54
　　,愛國里,865,5,2,2,419,6,3,497,934,25,959,0,959,265,"1,224",78.35
　　,愛國里,866,2,2,0,399,6,1,657,"1,067",14,"1,081",0,"1,081",270,"1,351",80.01
　　,南門里,867,3,2,1,247,8,2,560,823,26,849,0,849,271,"1,120",75.80
　　,南門里,868,8,0,1,268,7,1,567,852,24,876,0,876,208,"1,084",80.81
　　,龍光里,869,4,1,0,377,10,3,618,"1,013",12,"1,025",0,"1,025",332,"1,357",75.53
　　,龍光里,870,9,5,2,374,6,4,637,"1,037",33,"1,070",0,"1,070",299,"1,369",78.16
　　,南福里,871,11,1,1,387,10,1,630,"1,041",20,"1,061",0,"1,061",306,"1,367",77.62
　　,南福里,872,7,6,4,402,11,2,650,"1,082",12,"1,094",0,"1,094",280,"1,374",79.62
　　,南福里,873,11,12,3,511,9,2,805,"1,353",19,"1,372",0,"1,372",351,"1,723",79.63
　　,南福里,874,9,7,4,442,5,1,722,"1,190",16,"1,206",0,"1,206",368,"1,574",76.62
　　,南福里,875,7,5,1,404,10,1,730,"1,158",21,"1,179",0,"1,179",322,"1,501",78.55
　　,龍福里,876,14,1,3,487,8,4,787,"1,304",23,"1,327",0,"1,327","1,455","2,782",47.70
　　,龍福里,877,9,1,6,448,7,3,781,"1,255",23,"1,278",0,"1,278",375,"1,653",77.31
　　,龍福里,878,8,1,1,461,11,4,744,"1,230",22,"1,252",0,"1,252",335,"1,587",78.89
　　,新營里,879,11,3,5,368,5,2,684,"1,078",14,"1,092",0,"1,092",315,"1,407",77.61
　　,新營里,880,12,1,3,299,3,2,700,"1,020",14,"1,034",0,"1,034",291,"1,325",78.04
　　,新營里,881,17,3,1,308,8,5,688,"1,030",27,"1,057",0,"1,057",272,"1,329",79.53
　　,新營里,882,21,2,3,309,3,4,697,"1,039",10,"1,049",0,"1,049",279,"1,328",78.99
　　,新營里,883,20,5,2,283,7,0,728,"1,045",21,"1,066",0,"1,066",286,"1,352",78.85
　　,建國里,884,6,2,1,269,1,0,532,811,16,827,0,827,265,"1,092",75.73
　　,光復里,885,11,3,4,444,4,6,693,"1,165",25,"1,190",0,"1,190",417,"1,607",74.05
　　,光復里,886,9,1,2,434,4,0,579,"1,029",13,"1,042",0,"1,042",325,"1,367",76.23
　　,黎明里,887,6,6,3,289,6,3,544,857,15,872,0,872,369,"1,241",70.27
　　,黎明里,888,10,4,4,324,10,1,562,915,17,932,0,932,356,"1,288",72.36
　　,梅花里,889,11,5,9,352,6,5,596,984,23,"1,007",0,"1,007",351,"1,358",74.15
　　,梅花里,890,3,9,2,427,4,5,543,993,19,"1,012",0,"1,012",309,"1,321",76.61
　　,幸福里,891,4,6,1,347,6,2,635,"1,001",19,"1,020",0,"1,020",300,"1,320",77.27
　　,幸福里,892,14,5,2,341,4,3,590,959,14,973,0,973,273,"1,246",78.09
