第8屆區域立法委員選舉臺北市第6選舉區候選人在各投開票所得票數一覽表,,,,,,,,,,,,,,,,,,,
鄉(鎮、市、區)別,村里別,投票所別,各候選人得票情形,,,,,,,,,"有效票數A
A=1+2+...+N",無效票數B,"投票數C
C=A+B","已領未投票數D
D=E-C","發出票數E
E=C+D",用餘票數F,"選舉人數G
G=E+F","發票率H
H=C÷G"
,,,"1
葉邦宗
無黨籍及未經政黨推薦","2
周佩民
台灣主義黨","3
陳振盛
親民黨","4
趙衍慶
無黨籍及未經政黨推薦","5
王雲怡
台灣國民會議","6
陳福民
無黨籍及未經政黨推薦","7
趙士強
民主進步黨","8
蔣乃辛
中國國民黨","9
王秀珠
人民最大黨",,,,,,,,
,,,,,,,,,,,,,,,,,,,
　　,臨江里,"1,007",2,10,92,0,13,15,398,730,7,"1,267",9,"1,276",0,"1,276",367,"1,643",77.66
　　,法治里,"1,008",1,0,72,1,15,6,247,616,3,961,11,972,0,972,282,"1,254",77.51
　　,法治里,"1,009",1,5,59,1,14,12,224,625,1,942,13,955,0,955,330,"1,285",74.32
　　,法治里,"1,010",0,2,67,1,11,9,291,571,6,958,13,971,0,971,273,"1,244",78.05
　　,全安里,"1,011",3,3,78,2,11,8,312,614,2,"1,033",14,"1,047",0,"1,047",341,"1,388",75.43
　　,全安里,"1,012",4,5,51,1,5,17,259,561,2,905,12,917,0,917,251,"1,168",78.51
　　,全安里,"1,013",2,2,53,1,10,13,286,540,5,912,15,927,0,927,309,"1,236",75.00
　　,群賢里,"1,014",0,0,60,0,11,8,337,710,3,"1,129",15,"1,144",0,"1,144",416,"1,560",73.33
　　,群賢里,"1,015",2,4,78,1,15,12,322,897,6,"1,337",20,"1,357",0,"1,357",405,"1,762",77.01
　　,群賢里,"1,016",3,4,75,0,12,19,321,839,2,"1,275",14,"1,289",0,"1,289",450,"1,739",74.12
　　,群英里,"1,017",2,1,60,2,11,12,102,934,4,"1,128",21,"1,149",0,"1,149",358,"1,507",76.24
　　,群英里,"1,018",1,1,82,0,6,19,165,931,3,"1,208",12,"1,220",0,"1,220",308,"1,528",79.84
　　,群英里,"1,019",1,5,86,1,7,12,220,781,6,"1,119",11,"1,130",0,"1,130",291,"1,421",79.52
　　,群英里,"1,020",1,1,69,1,12,13,228,805,7,"1,137",13,"1,150",1,"1,151",302,"1,453",79.15
　　,虎嘯里,"1,021",2,4,57,0,5,10,260,606,1,945,9,954,0,954,328,"1,282",74.41
　　,虎嘯里,"1,022",5,3,98,1,18,15,324,809,8,"1,281",26,"1,307",0,"1,307",461,"1,768",73.93
　　,臥龍里,"1,023",1,4,73,0,13,14,315,770,5,"1,195",25,"1,220",0,"1,220",365,"1,585",76.97
　　,龍淵里,"1,024",2,2,81,3,11,5,336,693,10,"1,143",17,"1,160",0,"1,160",311,"1,471",78.86
　　,龍淵里,"1,025",2,3,82,2,18,17,342,732,6,"1,204",14,"1,218",0,"1,218",338,"1,556",78.28
　　,龍淵里,"1,026",2,3,56,0,10,17,335,661,4,"1,088",15,"1,103",0,"1,103",299,"1,402",78.67
　　,龍淵里,"1,027",5,3,51,1,15,4,335,627,5,"1,046",12,"1,058",0,"1,058",308,"1,366",77.45
　　,龍淵里,"1,028",2,0,65,1,11,7,356,631,0,"1,073",16,"1,089",0,"1,089",301,"1,390",78.35
　　,龍門里,"1,029",2,2,75,0,13,9,415,756,2,"1,274",20,"1,294",0,"1,294",397,"1,691",76.52
　　,龍門里,"1,030",1,2,72,4,14,15,428,773,3,"1,312",19,"1,331",0,"1,331",421,"1,752",75.97
　　,大學里,"1,031",0,2,92,0,12,14,388,744,1,"1,253",15,"1,268",0,"1,268",377,"1,645",77.08
　　,大學里,"1,032",2,2,100,2,20,11,368,760,9,"1,274",26,"1,300",0,"1,300",386,"1,686",77.11
　　,大學里,"1,033",1,0,101,1,28,14,386,725,6,"1,262",20,"1,282",0,"1,282",459,"1,741",73.64
　　,大學里,"1,034",4,4,83,3,15,8,401,750,5,"1,273",17,"1,290",0,"1,290",419,"1,709",75.48
　　,芳和里,"1,035",4,4,88,0,15,8,353,765,7,"1,244",14,"1,258",0,"1,258",364,"1,622",77.56
　　,芳和里,"1,036",2,2,88,2,16,5,390,694,5,"1,204",23,"1,227",1,"1,228",414,"1,642",74.73
　　,芳和里,"1,037",10,7,90,3,17,6,379,764,6,"1,282",20,"1,302",0,"1,302",416,"1,718",75.79
　　,黎元里,"1,038",9,2,70,1,7,5,369,738,5,"1,206",13,"1,219",0,"1,219",353,"1,572",77.54
　　,黎元里,"1,039",5,4,91,4,9,9,390,717,7,"1,236",16,"1,252",0,"1,252",340,"1,592",78.64
　　,黎元里,"1,040",5,3,61,4,9,7,376,620,7,"1,092",22,"1,114",0,"1,114",313,"1,427",78.07
　　,黎孝里,"1,041",6,6,110,2,8,10,407,668,4,"1,221",18,"1,239",0,"1,239",357,"1,596",77.63
　　,黎孝里,"1,042",8,3,99,3,14,8,342,643,4,"1,124",16,"1,140",0,"1,140",325,"1,465",77.82
　　,黎孝里,"1,043",4,1,91,1,18,3,310,857,2,"1,287",19,"1,306",0,"1,306",323,"1,629",80.17
　　,黎孝里,"1,044",5,8,88,3,12,7,389,765,3,"1,280",21,"1,301",0,"1,301",399,"1,700",76.53
　　,黎和里,"1,045",8,6,74,1,17,5,301,684,5,"1,101",21,"1,122",0,"1,122",377,"1,499",74.85
　　,黎和里,"1,046",6,4,70,0,10,7,202,595,4,898,11,909,0,909,336,"1,245",73.01
　　,黎和里,"1,047",4,3,78,1,10,7,251,639,2,995,11,"1,006",0,"1,006",271,"1,277",78.78
　　,建安里,"1,048",1,4,58,2,15,14,325,590,4,"1,013",23,"1,036",0,"1,036",309,"1,345",77.03
　　,建安里,"1,049",1,3,65,0,16,8,291,631,4,"1,019",17,"1,036",0,"1,036",352,"1,388",74.64
　　,建安里,"1,050",0,1,66,2,8,20,282,615,4,998,16,"1,014",0,"1,014",418,"1,432",70.81
　　,建倫里,"1,051",3,2,108,2,15,38,369,704,4,"1,245",15,"1,260",0,"1,260",448,"1,708",73.77
　　,建倫里,"1,052",2,0,79,0,14,18,336,800,0,"1,249",22,"1,271",0,"1,271",431,"1,702",74.68
　　,建倫里,"1,053",1,0,71,2,18,15,371,717,1,"1,196",25,"1,221",1,"1,222",453,"1,675",72.90
　　,敦安里,"1,054",4,5,79,0,11,21,418,680,4,"1,222",24,"1,246",0,"1,246",460,"1,706",73.04
　　,敦安里,"1,055",1,3,85,1,32,52,445,674,4,"1,297",19,"1,316",0,"1,316",425,"1,741",75.59
　　,敦安里,"1,056",4,4,90,0,15,67,332,664,3,"1,179",25,"1,204",0,"1,204",437,"1,641",73.37
　　,正聲里,"1,057",5,1,70,3,13,20,277,637,4,"1,030",13,"1,043",0,"1,043",365,"1,408",74.08
　　,正聲里,"1,058",1,3,67,1,23,28,296,603,4,"1,026",11,"1,037",0,"1,037",345,"1,382",75.04
　　,正聲里,"1,059",0,5,65,0,18,14,258,503,6,869,18,887,0,887,381,"1,268",69.95
　　,敦煌里,"1,060",4,4,75,2,10,41,418,779,2,"1,335",32,"1,367",0,"1,367",404,"1,771",77.19
　　,敦煌里,"1,061",1,1,73,0,14,22,347,659,8,"1,125",23,"1,148",0,"1,148",402,"1,550",74.06
　　,敦煌里,"1,062",2,1,87,1,10,29,411,646,8,"1,195",19,"1,214",0,"1,214",356,"1,570",77.32
